Model,Vectorizer,Feature_Selection,Accuracy,Precision,Recall,F1-Score,AUC
Logistic Regression,tfidf,pca,0.8925,0.9067357512953368,0.875,0.8905852417302799,0.8925000000000001
Logistic Regression,tfidf,pls,0.995625,0.9962453066332916,0.995,0.9956222639149468,0.995625
Logistic Regression,tfidf,kbest,0.8775,0.871007371007371,0.88625,0.8785625774473357,0.8775000000000001
Logistic Regression,tfidf,rfe,0.89625,0.8972431077694235,0.895,0.8961201501877346,0.89625
Logistic Regression,tfidf,embedded,0.903125,0.8986402966625463,0.90875,0.9036668738346798,0.903125
Logistic Regression,glove,pca,0.823125,0.7894736842105263,0.88125,0.832841110454814,0.8231250000000001
Logistic Regression,glove,pls,0.844375,0.8112994350282486,0.8975,0.8522255192878339,0.844375
Logistic Regression,glove,kbest,0.83625,0.8042986425339367,0.88875,0.8444180522565321,0.8362499999999999
Logistic Regression,glove,rfe,0.83625,0.8042986425339367,0.88875,0.8444180522565321,0.8362499999999999
Logistic Regression,glove,embedded,0.83625,0.8042986425339367,0.88875,0.8444180522565321,0.8362499999999999
Logistic Regression,word2vec,pca,0.85,0.8278688524590164,0.88375,0.8548972188633617,0.85
Logistic Regression,word2vec,pls,0.876875,0.8509895227008148,0.91375,0.8812537673297167,0.8768749999999998
Logistic Regression,word2vec,kbest,0.863125,0.8446026097271648,0.89,0.8667072428484478,0.863125
Logistic Regression,word2vec,rfe,0.863125,0.8446026097271648,0.89,0.8667072428484478,0.863125
Logistic Regression,word2vec,embedded,0.863125,0.8446026097271648,0.89,0.8667072428484478,0.863125
Logistic Regression,lda,pca,0.68125,0.7013888888888888,0.63125,0.6644736842105262,0.68125
Logistic Regression,lda,pls,0.685,0.6897435897435897,0.6725,0.6810126582278481,0.6849999999999999
Logistic Regression,lda,kbest,0.681875,0.7006896551724138,0.635,0.6662295081967213,0.681875
Logistic Regression,lda,rfe,0.681875,0.7006896551724138,0.635,0.6662295081967213,0.681875
Logistic Regression,lda,embedded,0.681875,0.7006896551724138,0.635,0.6662295081967213,0.681875
Random Forest,tfidf,pca,0.89875,0.8852657004830918,0.91625,0.9004914004914005,0.9544375
Random Forest,tfidf,pls,0.98125,0.9764851485148515,0.98625,0.9813432835820896,0.9986429687499999
Random Forest,tfidf,kbest,0.86875,0.8660049627791563,0.8725,0.8692403486924035,0.93192265625
Random Forest,tfidf,rfe,0.87375,0.8628640776699029,0.88875,0.875615763546798,0.9424773437499999
Random Forest,tfidf,embedded,0.876875,0.8619447779111644,0.8975,0.8793631353337414,0.9485265625
Random Forest,glove,pca,0.86125,0.8533007334963325,0.8725,0.8627935723114958,0.932615625
Random Forest,glove,pls,0.870625,0.8567990373044525,0.89,0.8730839975475169,0.9402734374999999
Random Forest,glove,kbest,0.878125,0.872996300863132,0.885,0.8789571694599627,0.9400890624999999
Random Forest,glove,rfe,0.878125,0.872996300863132,0.885,0.8789571694599627,0.9400890624999999
Random Forest,glove,embedded,0.873125,0.8653610771113831,0.88375,0.8744588744588745,0.9405359375
Random Forest,word2vec,pca,0.875625,0.8624849215922799,0.89375,0.8778391651319828,0.9439375
Random Forest,word2vec,pls,0.895,0.8816425120772947,0.9125,0.8968058968058968,0.951490625
Random Forest,word2vec,kbest,0.893125,0.8996188055908514,0.885,0.892249527410208,0.9578484375
Random Forest,word2vec,rfe,0.893125,0.8996188055908514,0.885,0.892249527410208,0.9578484375
Random Forest,word2vec,embedded,0.90125,0.9073604060913706,0.89375,0.9005037783375315,0.9579484375
Random Forest,lda,pca,0.74125,0.7406483790523691,0.7425,0.7415730337078652,0.8160101562500001
Random Forest,lda,pls,0.74,0.7352941176470589,0.75,0.7425742574257426,0.80254453125
Random Forest,lda,kbest,0.774375,0.7789072426937739,0.76625,0.7725267800882167,0.8447882812499999
Random Forest,lda,rfe,0.774375,0.7789072426937739,0.76625,0.7725267800882167,0.8447882812499999
Random Forest,lda,embedded,0.7775,0.7824427480916031,0.76875,0.7755359394703656,0.8451234375
SVM,tfidf,pca,0.89375,0.9069767441860465,0.8775,0.891994917407878,0.95838984375
SVM,tfidf,pls,0.995,0.9962406015037594,0.99375,0.9949937421777222,0.9996625000000001
SVM,tfidf,kbest,0.84625,0.8578811369509044,0.83,0.843710292249047,0.90763984375
SVM,tfidf,rfe,0.864375,0.8675914249684742,0.86,0.8637790332705588,0.9279984375
SVM,tfidf,embedded,0.86625,0.8644278606965174,0.86875,0.8665835411471322,0.9381093750000001
SVM,glove,pca,0.823125,0.7856353591160221,0.88875,0.8340175953079179,0.8819328124999999
SVM,glove,pls,0.84375,0.8042035398230089,0.90875,0.8532863849765259,0.902196875
SVM,glove,kbest,0.82625,0.7893569844789357,0.89,0.836662749706228,0.88145625
SVM,glove,rfe,0.825625,0.7853231106243155,0.89625,0.8371278458844132,0.8813390624999999
SVM,glove,embedded,0.82625,0.7861842105263158,0.89625,0.8376168224299066,0.8812539062499999
SVM,word2vec,pca,0.8525,0.8226544622425629,0.89875,0.8590203106332138,0.9173734375
SVM,word2vec,pls,0.875,0.8424657534246576,0.9225,0.8806682577565633,0.9256984375
SVM,word2vec,kbest,0.8525,0.8140311804008908,0.91375,0.8610129564193167,0.91680859375
SVM,word2vec,rfe,0.8525,0.8140311804008908,0.91375,0.8610129564193167,0.9167859375
SVM,word2vec,embedded,0.8525,0.8133333333333334,0.915,0.8611764705882353,0.9167835937500001
SVM,lda,pca,0.649375,0.6955810147299509,0.53125,0.6024096385542169,0.7173421875
SVM,lda,pls,0.676875,0.6941015089163237,0.6325,0.6618705035971223,0.72165625
SVM,lda,kbest,0.650625,0.6978653530377669,0.53125,0.603264726756565,0.71651328125
SVM,lda,rfe,0.650625,0.6978653530377669,0.53125,0.603264726756565,0.716515625
SVM,lda,embedded,0.641875,0.6953528399311532,0.505,0.5850832729905865,0.71992109375
